Pacounty,Latitude,Longitude,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016
Adams ,39.873,-77.213,24,17,40,98,85,51,54,96,84,120,39,63,61,47,91,120,86
Allegheny ,40.479,-80.024,10,22,38,21,27,27,13,16,14,29,18,1,10,1,822,175,403
Armstrong ,40.756,-79.451,1,4,5,2,1,6,5,13,20,53,73,146,136,232,174,211,268
Beaver ,40.675,-80.332,2,0,1,11,8,2,3,2,1,8,5,21,24,73,67,106,188
Bedford ,39.992,-78.471,5,2,4,6,3,2,3,5,4,10,22,31,37,54,68,82,171
Berks ,40.426,-75.984,51,147,467,400,297,384,255,270,165,83,33,26,20,19,150,583,463
Blair ,40.485,-78.368,7,2,2,5,2,3,1,1,2,10,18,29,37,85,114,77,154
Bradford ,41.782,-76.521,2,4,4,3,2,6,5,2,7,13,10,46,52,99,90,180,158
Bucks ,40.379,-75.102,506,300,461,617,477,500,346,556,492,953,437,587,376,337,287,454,500
Butler ,40.922,-79.927,0,26,13,45,30,50,72,87,113,188,151,228,235,332,412,436,641
Cambria ,40.483,-78.702,2,2,3,3,5,7,0,4,2,7,4,30,31,63,91,139,221
Cameron ,41.422,-78.204,11,8,16,9,10,24,9,15,18,20,14,21,16,21,23,21,28
Carbon ,40.876,-75.735,3,7,3,14,5,6,8,5,17,51,37,52,63,38,41,47,46
Centre ,40.924,-77.76,5,5,31,26,23,20,21,29,45,118,68,118,118,150,195,210,300
Chester ,39.987,-75.748,566,818,818,974,637,670,481,627,698,983,637,775,610,489,200,257,371
Clarion ,41.184,-79.453,1,0,1,3,4,1,2,2,2,12,18,38,66,94,101,113,206
Clearfield ,40.982,-78.422,32,22,65,57,42,61,52,50,94,146,130,230,268,308,273,276,348
Clinton ,41.283,-77.618,4,3,11,13,13,8,8,7,18,42,28,42,30,37,60,57,46
