County,2010,2000,1990,1960
Adams ,101407,91292,78274,51906
Allegheny ,1223348,1281666,1336449,1628587
Armstrong ,68941,72392,73478,79524
Beaver ,170539,181412,186093,206948
Bedford ,49762,49984,47919,42451
Berks ,411442,373638,336523,275414
Blair ,127089,129144,130542,137270
Bradford ,62622,62761,60967,54925
Bucks ,625249,597635,541174,308567
Butler ,183862,174083,152013,114639
Cambria ,143679,152598,163029,203283
Cameron ,5085,5974,5913,7586
Carbon ,65249,58802,56846,52889
Centre ,153990,135758,123786,78580
Chester ,498886,433501,376396,210608
Clarion ,39988,41765,41699,37408
Clearfield ,81642,83382,78097,81534
Clinton ,39238,37914,37182,37619
Columbia ,67295,64151,63202,53489
Crawford ,88765,90366,86169,77956
Cumberland ,235406,213674,195257,124816
Dauphin ,268100,251798,237813,220255
Delaware ,558979,550864,547651,553154
Elk ,31946,35112,34878,37328
Erie ,280566,280843,275572,250682
Fayette ,136606,148644,145351,169340
Forest ,7716,4946,4802,4485
Franklin ,149618,129313,121082,88172
Fulton ,14845,14261,13837,10597
Greene ,38686,40672,39550,39424
Huntingdon ,45913,45586,44164,39457
Indiana ,88880,89605,89994,75366
Jefferson ,45200,45932,46083,46792
Juniata ,24636,22821,20625,15874
Lackawanna ,214437,213295,219039,234531
Lancaster ,519445,470658,422822,278359
Lawrence ,91108,94643,96246,112965
Lebanon ,133568,120327,113744,90853
Lehigh ,349497,312090,291130,227536
Luzerne ,320918,319250,328149,346972
Lycoming ,116111,120044,118710,109367
McKean ,43450,45936,47131,54517
Mercer ,116638,120293,121003,127519
Mifflin ,46682,46486,46197,44348
Monroe ,169842,138687,95709,39567
Montgomery ,799874,750097,678111,516682
Montour ,18267,18236,17735,16730
Northampton ,297735,267066,247105,201412
Northumberland ,94528,94556,96771,104138
Perry ,45969,43602,41172,26582
Philadelphia ,1526006,1517550,1585577,2002512
Pike ,57369,46302,27966,9158
Potter ,17457,18080,16717,16483
Schuylkill ,148289,150336,152585,173027
Snyder ,39702,37546,36680,25922
Somerset ,77742,80023,78218,77450
Sullivan ,6428,6556,6104,6251
Susquehanna ,43356,42238,40380,33137
Tioga ,41981,41373,41126,36614
Union ,44947,41624,36176,25646
Venango ,54984,57565,59381,65295
Warren ,41815,43863,45050,45582
Washington ,207820,202897,204584,217271
Wayne ,52822,47722,39944,28237
Westmoreland ,365169,369993,370321,352629
Wyoming ,28276,28080,28076,16813
York ,434972,381751,339574,238336
