UniqueID,Date tick found,Host,Species,Vegtype,Counts_submit
TD0631,3/16/1990,Not_attached,Ixodes_scapularis,Brush,32
TD0635,3/20/1990,Canis_lupus,Ixodes_scapularis,Brush,1
TD0649,4/3/1990,Homo_sapiens,Ixodes_scapularis,Brush,1
TD0656,4/6/1990,Felis_silvestris,Dermacentor_variabilis,Brush,1
TD0661,4/9/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD0662,4/9/1990,Homo_sapiens,Ixodes_scapularis,Brush,1
TD0668,4/9/1990,Procyonidae,Ixodes_texanus,Brush,1
TD0685,4/15/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD0699,4/17/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD0706,4/18/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD0715,4/20/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD0750,4/23/1990,Domestic_pets,Dermacentor_variabilis,Brush,20
TD0752,4/23/1990,Canis_lupus,Dermacentor_variabilis,Brush,7
TD0763,4/24/1990,Homo_sapiens,Ixodes_cookei,Brush,1
TD0768,4/25/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD0779,4/25/1990,Homo_sapiens,Dermacentor_variabilis,Brush,2
TD0766,4/25/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD0820,4/27/1990,Not_attached,Dermacentor_variabilis,Brush,5
TD0819,4/27/1990,Leporidae,Haemaphysalis_leporis-palustris,Brush,5
TD0839,4/29/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD0860,4/30/1990,Canis_lupus,Dermacentor_variabilis,Brush,15
TD0884,5/1/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD0882,5/1/1990,Not_attached,Ixodes_scapularis,Brush,4
TD0913,5/2/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD0926,5/3/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD0927,5/3/1990,Canis_lupus,Dermacentor_variabilis,Brush,6
TD0944,5/4/1990,Canis_lupus,Dermacentor_variabilis,Brush,3
TD0952,5/4/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD0962,5/5/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD0963,5/5/1990,Not_attached,Ixodes_scapularis,Brush,1
TD0974,5/6/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD0977,5/7/1990,Canis_lupus,Dermacentor_variabilis,Brush,12
TD0981,5/7/1990,Canis_lupus,Dermacentor_variabilis,Brush,2
TD0980,5/7/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1016,5/8/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD0999,5/8/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD1009,5/8/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD1036,5/9/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD1040,5/9/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD1033,5/9/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD1045,5/10/1990,Canis_lupus,Dermacentor_variabilis,Brush,8
TD1048,5/10/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD1049,5/10/1990,Canis_lupus,Dermacentor_variabilis,Brush,3
TD1073,5/11/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD1058,5/11/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1067,5/11/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1062,5/11/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD1072,5/11/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD1080,5/12/1990,Canis_lupus,Ixodes_scapularis,Brush,2
TD1098,5/14/1990,Canis_lupus,Dermacentor_variabilis,Brush,3
TD1095,5/14/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1106,5/14/1990,Homo_sapiens,Ixodes_dentatus,Brush,1
TD1116,5/15/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD1118,5/15/1990,Canis_lupus,Dermacentor_variabilis,Brush,2
TD1138,5/16/1990,Canis_lupus,Dermacentor_variabilis,Brush,2
TD1155,5/17/1990,Canis_lupus,Dermacentor_variabilis,Brush,20
TD1159,5/17/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD1144,5/17/1990,Homo_sapiens,Dermacentor_variabilis,Brush,3
TD1147,5/17/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1154,5/17/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1157,5/17/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1167,5/18/1990,Not_attached,Dermacentor_variabilis,Brush,2
TD1172,5/19/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1176,5/19/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1182,5/20/1990,Homo_sapiens,Amblyomma_americanum,Brush,1
TD1202,5/21/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD1208,5/22/1990,Canis_lupus,Dermacentor_variabilis,Brush,2
TD1205,5/22/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1210,5/22/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1218,5/22/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1233,5/23/1990,Canis_lupus,Dermacentor_variabilis,Brush,6
TD1232,5/23/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD1238,5/24/1990,Homo_sapiens,Amblyomma_americanum,Brush,1
TD1246,5/24/1990,Homo_sapiens,Dermacentor_variabilis,Brush,2
TD1248,5/24/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1253,5/25/1990,Canis_lupus,Dermacentor_variabilis,Brush,2
TD1256,5/25/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD1259,5/25/1990,Canis_lupus,Dermacentor_variabilis,Brush,9
TD1271,5/27/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1282,5/28/1990,Canis_lupus,Dermacentor_variabilis,Brush,4
TD1302,5/30/1990,Canis_lupus,Dermacentor_variabilis,Brush,5
TD1336,6/1/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1353,6/4/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1350,6/4/1990,Homo_sapiens,Ixodes_cookei,Brush,1
TD1363,6/4/1990,Felis_silvestris,Ixodes_scapularis,Brush,1
TD1381,6/6/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1223,5/23/1990,Homo_sapiens,Amblyomma_americanum,Ecotone,1
TD0535,5/31/1989,Canis_lupus,Ixodes_cookei,Ecotone,1
TD0546,6/18/1989,Procyonidae,Ixodes_cookei,Ecotone,4
TD0547,6/22/1989,Procyonidae,Ixodes_cookei,Ecotone,7
TD0548,6/29/1989,Didelphidae,Dermacentor_variabilis,Ecotone,6
TD0549,6/29/1989,Didelphidae,Ixodes_cookei,Ecotone,1
TD0550,7/1/1989,Homo_sapiens,Ixodes_dentatus,Ecotone,1
TD0553,7/7/1989,Procyonidae,Ixodes_cookei,Ecotone,1
TD0554,7/7/1989,Procyonidae,Ixodes_texanus,Ecotone,1
TD0555,7/11/1989,Procyonidae,Rhipicephalus_sanguineus,Ecotone,1
TD0556,7/12/1989,Procyonidae,Ixodes_cookei,Ecotone,1
TD0572,8/13/1989,Procyonidae,Ixodes_cookei,Ecotone,1
TD0573,8/15/1989,Procyonidae,Ixodes_cookei,Ecotone,5
TD0616,2/21/1990,Canis_lupus,Ixodes_scapularis,Ecotone,14
TD0624,3/6/1990,Domestic_pets,Ixodes_scapularis,Ecotone,4
TD0627,3/12/1990,Not_attached,Ixodes_scapularis,Ecotone,8
TD0640,3/27/1990,Not_attached,Dermacentor_variabilis,Ecotone,1
TD0655,4/6/1990,Felis_silvestris,Ixodes_cookei,Ecotone,1
TD0663,4/9/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0674,4/12/1990,Homo_sapiens,Ixodes_cookei,Ecotone,1
TD0686,4/15/1990,Canis_lupus,Ixodes_cookei,Ecotone,1
TD0697,4/17/1990,Not_attached,Dermacentor_variabilis,Ecotone,1
TD0710,4/18/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,23
TD0702,4/18/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0701,4/18/1990,Not_attached,Dermacentor_variabilis,Ecotone,1
TD0707,4/18/1990,Canis_lupus,Ixodes_scapularis,Ecotone,1
TD0709,4/18/1990,Not_attached,Ixodes_scapularis,Ecotone,1
TD0714,4/19/1990,Not_attached,Ixodes_scapularis,Ecotone,1
TD0725,4/21/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD0733,4/22/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0729,4/22/1990,Canis_lupus,Ixodes_cookei,Ecotone,1
TD0744,4/23/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
